"X"	"Y"	"MASK"
-63.978071	-63.700965	1.000000
-61.978071	-63.700965	1.000000
-59.978071	-63.700965	1.000000
-57.978071	-63.700965	1.000000
-55.978071	-63.700965	1.000000
-53.978071	-63.700965	1.000000
-51.978071	-63.700965	1.000000
-49.978071	-63.700965	1.000000
-47.978071	-63.700965	1.000000
-45.978071	-63.700965	1.000000
-43.978071	-63.700965	1.000000
-41.978071	-63.700965	1.000000
-39.978071	-63.700965	1.000000
-37.978071	-63.700965	1.000000
-35.978071	-63.700965	1.000000
-33.978071	-63.700965	1.000000
-31.978071	-63.700965	1.000000
-29.978071	-63.700965	1.000000
-27.978071	-63.700965	1.000000
-25.978071	-63.700965	1.000000
-23.978071	-63.700965	1.000000
-21.978071	-63.700965	1.000000
-19.978071	-63.700965	1.000000
-17.978071	-63.700965	1.000000
-15.978071	-63.700965	1.000000
-13.978071	-63.700965	1.000000
-11.978071	-63.700965	1.000000
-9.978071	-63.700965	1.000000
-7.978071	-63.700965	1.000000
-5.978071	-63.700965	1.000000
-3.978071	-63.700965	1.000000
-1.978071	-63.700965	1.000000
0.021929	-63.700965	1.000000
2.021929	-63.700965	1.000000
4.021929	-63.700965	1.000000
6.021929	-63.700965	1.000000
8.021929	-63.700965	1.000000
10.021929	-63.700965	1.000000
12.021929	-63.700965	1.000000
14.021929	-63.700965	1.000000
16.021929	-63.700965	1.000000
18.021929	-63.700965	1.000000
20.021929	-63.700965	1.000000
22.021929	-63.700965	1.000000
24.021929	-63.700965	1.000000
26.021929	-63.700965	1.000000
28.021929	-63.700965	1.000000
30.021929	-63.700965	0.000000
-107.978071	-61.700965	0.000000
-105.978071	-61.700965	0.000000
-103.978071	-61.700965	0.000000
-101.978071	-61.700965	0.000000
-99.978071	-61.700965	0.000000
-97.978071	-61.700965	0.000000
-95.978071	-61.700965	0.000000
-93.978071	-61.700965	0.000000
-91.978071	-61.700965	0.000000
-89.978071	-61.700965	0.000000
-87.978071	-61.700965	0.000000
-85.978071	-61.700965	0.000000
-83.978071	-61.700965	0.000000
-81.978071	-61.700965	0.000000
-79.978071	-61.700965	0.000000
-77.978071	-61.700965	0.000000
-75.978071	-61.700965	1.000000
-73.978071	-61.700965	1.000000
-71.978071	-61.700965	1.000000
-69.978071	-61.700965	1.000000
-67.978071	-61.700965	1.000000
-65.978071	-61.700965	1.000000
-63.978071	-61.700965	1.000000
-61.978071	-61.700965	1.000000
-59.978071	-61.700965	1.000000
-57.978071	-61.700965	1.000000
-55.978071	-61.700965	1.000000
-53.978071	-61.700965	1.000000
-51.978071	-61.700965	1.000000
-49.978071	-61.700965	1.000000
-47.978071	-61.700965	1.000000
-45.978071	-61.700965	1.000000
-43.978071	-61.700965	1.000000
-41.978071	-61.700965	1.000000
-39.978071	-61.700965	1.000000
-37.978071	-61.700965	1.000000
-35.978071	-61.700965	1.000000
-33.978071	-61.700965	1.000000
-31.978071	-61.700965	1.000000
-29.978071	-61.700965	1.000000
-27.978071	-61.700965	1.000000
-25.978071	-61.700965	1.000000
-23.978071	-61.700965	1.000000
-21.978071	-61.700965	1.000000
-19.978071	-61.700965	1.000000
-17.978071	-61.700965	1.000000
-15.978071	-61.700965	1.000000
-13.978071	-61.700965	1.000000
-11.978071	-61.700965	1.000000
-9.978071	-61.700965	1.000000
-7.978071	-61.700965	1.000000
-5.978071	-61.700965	1.000000
-3.978071	-61.700965	1.000000
-1.978071	-61.700965	1.000000
0.021929	-61.700965	1.000000
2.021929	-61.700965	1.000000
4.021929	-61.700965	1.000000
6.021929	-61.700965	1.000000
8.021929	-61.700965	1.000000
10.021929	-61.700965	1.000000
12.021929	-61.700965	1.000000
14.021929	-61.700965	1.000000
16.021929	-61.700965	1.000000
18.021929	-61.700965	1.000000
20.021929	-61.700965	1.000000
22.021929	-61.700965	1.000000
24.021929	-61.700965	1.000000
26.021929	-61.700965	1.000000
28.021929	-61.700965	1.000000
30.021929	-61.700965	0.000000
-107.978071	-59.700965	0.000000
-105.978071	-59.700965	0.000000
-103.978071	-59.700965	0.000000
-101.978071	-59.700965	0.000000
-99.978071	-59.700965	0.000000
-97.978071	-59.700965	0.000000
-95.978071	-59.700965	0.000000
-93.978071	-59.700965	0.000000
-91.978071	-59.700965	0.000000
-89.978071	-59.700965	0.000000
-87.978071	-59.700965	0.000000
-85.978071	-59.700965	0.000000
-83.978071	-59.700965	0.000000
-81.978071	-59.700965	0.000000
-79.978071	-59.700965	0.000000
-77.978071	-59.700965	0.000000
-75.978071	-59.700965	1.000000
-73.978071	-59.700965	1.000000
-71.978071	-59.700965	1.000000
-69.978071	-59.700965	1.000000
-67.978071	-59.700965	1.000000
-65.978071	-59.700965	1.000000
-63.978071	-59.700965	1.000000
-61.978071	-59.700965	1.000000
-59.978071	-59.700965	1.000000
-57.978071	-59.700965	1.000000
-55.978071	-59.700965	1.000000
-53.978071	-59.700965	1.000000
-51.978071	-59.700965	1.000000
-49.978071	-59.700965	1.000000
-47.978071	-59.700965	1.000000
-45.978071	-59.700965	1.000000
-43.978071	-59.700965	1.000000
-41.978071	-59.700965	1.000000
-39.978071	-59.700965	1.000000
-37.978071	-59.700965	1.000000
-35.978071	-59.700965	1.000000
-33.978071	-59.700965	1.000000
-31.978071	-59.700965	1.000000
-29.978071	-59.700965	1.000000
-27.978071	-59.700965	1.000000
-25.978071	-59.700965	1.000000
-23.978071	-59.700965	1.000000
-21.978071	-59.700965	1.000000
-19.978071	-59.700965	1.000000
-17.978071	-59.700965	1.000000
-15.978071	-59.700965	1.000000
-13.978071	-59.700965	1.000000
-11.978071	-59.700965	1.000000
-9.978071	-59.700965	1.000000
-7.978071	-59.700965	1.000000
-5.978071	-59.700965	1.000000
-3.978071	-59.700965	1.000000
-1.978071	-59.700965	1.000000
0.021929	-59.700965	1.000000
2.021929	-59.700965	1.000000
4.021929	-59.700965	1.000000
6.021929	-59.700965	1.000000
8.021929	-59.700965	1.000000
10.021929	-59.700965	1.000000
12.021929	-59.700965	1.000000
14.021929	-59.700965	1.000000
16.021929	-59.700965	1.000000
18.021929	-59.700965	1.000000
20.021929	-59.700965	1.000000
22.021929	-59.700965	1.000000
24.021929	-59.700965	1.000000
26.021929	-59.700965	1.000000
28.021929	-59.700965	1.000000
30.021929	-59.700965	0.000000
-107.978071	-57.700965	0.000000
-105.978071	-57.700965	0.000000
-103.978071	-57.700965	0.000000
-101.978071	-57.700965	0.000000
-99.978071	-57.700965	0.000000
-97.978071	-57.700965	0.000000
-95.978071	-57.700965	0.000000
-93.978071	-57.700965	0.000000
-91.978071	-57.700965	0.000000
-89.978071	-57.700965	0.000000
-87.978071	-57.700965	0.000000
-85.978071	-57.700965	0.000000
-83.978071	-57.700965	0.000000
-81.978071	-57.700965	0.000000
-79.978071	-57.700965	0.000000
-77.978071	-57.700965	0.000000
-75.978071	-57.700965	1.000000
-73.978071	-57.700965	1.000000
-71.978071	-57.700965	1.000000
-69.978071	-57.700965	1.000000
-67.978071	-57.700965	1.000000
-65.978071	-57.700965	1.000000
-63.978071	-57.700965	1.000000
-61.978071	-57.700965	1.000000
-59.978071	-57.700965	1.000000
-57.978071	-57.700965	1.000000
-55.978071	-57.700965	1.000000
-53.978071	-57.700965	1.000000
-51.978071	-57.700965	1.000000
-49.978071	-57.700965	1.000000
-47.978071	-57.700965	1.000000
-45.978071	-57.700965	1.000000
-43.978071	-57.700965	1.000000
-41.978071	-57.700965	1.000000
-39.978071	-57.700965	1.000000
-37.978071	-57.700965	1.000000
-35.978071	-57.700965	1.000000
-33.978071	-57.700965	1.000000
-31.978071	-57.700965	1.000000
-29.978071	-57.700965	1.000000
-27.978071	-57.700965	1.000000
-25.978071	-57.700965	1.000000
-23.978071	-57.700965	1.000000
-21.978071	-57.700965	1.000000
-19.978071	-57.700965	1.000000
-17.978071	-57.700965	1.000000
-15.978071	-57.700965	1.000000
-13.978071	-57.700965	1.000000
-11.978071	-57.700965	1.000000
-9.978071	-57.700965	1.000000
-7.978071	-57.700965	1.000000
-5.978071	-57.700965	1.000000
-3.978071	-57.700965	1.000000
-1.978071	-57.700965	1.000000
0.021929	-57.700965	1.000000
2.021929	-57.700965	1.000000
4.021929	-57.700965	1.000000
6.021929	-57.700965	1.000000
8.021929	-57.700965	1.000000
10.021929	-57.700965	1.000000
12.021929	-57.700965	1.000000
14.021929	-57.700965	1.000000
16.021929	-57.700965	1.000000
18.021929	-57.700965	1.000000
20.021929	-57.700965	1.000000
22.021929	-57.700965	1.000000
24.021929	-57.700965	1.000000
26.021929	-57.700965	1.000000
28.021929	-57.700965	1.000000
30.021929	-57.700965	0.000000
-107.978071	-55.700965	0.000000
-105.978071	-55.700965	0.000000
-103.978071	-55.700965	0.000000
-101.978071	-55.700965	0.000000
-99.978071	-55.700965	0.000000
-97.978071	-55.700965	0.000000
-95.978071	-55.700965	0.000000
-93.978071	-55.700965	0.000000
-91.978071	-55.700965	0.000000
-89.978071	-55.700965	0.000000
-87.978071	-55.700965	0.000000
-85.978071	-55.700965	0.000000
-83.978071	-55.700965	0.000000
-81.978071	-55.700965	0.000000
-79.978071	-55.700965	0.000000
-77.978071	-55.700965	1.000000
-75.978071	-55.700965	1.000000
-73.978071	-55.700965	1.000000
-71.978071	-55.700965	1.000000
-69.978071	-55.700965	1.000000
-67.978071	-55.700965	1.000000
-65.978071	-55.700965	1.000000
-63.978071	-55.700965	1.000000
-61.978071	-55.700965	1.000000
-59.978071	-55.700965	1.000000
-57.978071	-55.700965	1.000000
-55.978071	-55.700965	1.000000
-53.978071	-55.700965	1.000000
-51.978071	-55.700965	1.000000
-49.978071	-55.700965	1.000000
-47.978071	-55.700965	1.000000
-45.978071	-55.700965	1.000000
-43.978071	-55.700965	1.000000
-41.978071	-55.700965	1.000000
-39.978071	-55.700965	1.000000
-37.978071	-55.700965	1.000000
-35.978071	-55.700965	1.000000
-33.978071	-55.700965	1.000000
-31.978071	-55.700965	1.000000
-29.978071	-55.700965	1.000000
-27.978071	-55.700965	1.000000
-25.978071	-55.700965	1.000000
-23.978071	-55.700965	1.000000
-21.978071	-55.700965	1.000000
-19.978071	-55.700965	1.000000
-17.978071	-55.700965	1.000000
-15.978071	-55.700965	1.000000
-13.978071	-55.700965	1.000000
-11.978071	-55.700965	1.000000
-9.978071	-55.700965	1.000000
-7.978071	-55.700965	1.000000
-5.978071	-55.700965	1.000000
-3.978071	-55.700965	1.000000
-1.978071	-55.700965	1.000000
0.021929	-55.700965	1.000000
2.021929	-55.700965	1.000000
4.021929	-55.700965	1.000000
6.021929	-55.700965	1.000000
8.021929	-55.700965	1.000000
10.021929	-55.700965	1.000000
12.021929	-55.700965	1.000000
14.021929	-55.700965	1.000000
16.021929	-55.700965	1.000000
18.021929	-55.700965	1.000000
20.021929	-55.700965	1.000000
22.021929	-55.700965	1.000000
24.021929	-55.700965	1.000000
26.021929	-55.700965	1.000000
28.021929	-55.700965	1.000000
30.021929	-55.700965	0.000000
-107.978071	-53.700965	0.000000
-105.978071	-53.700965	0.000000
-103.978071	-53.700965	0.000000
-101.978071	-53.700965	0.000000
-99.978071	-53.700965	0.000000
-97.978071	-53.700965	0.000000
-95.978071	-53.700965	0.000000
-93.978071	-53.700965	0.000000
-91.978071	-53.700965	0.000000
-89.978071	-53.700965	0.000000
-87.978071	-53.700965	0.000000
-85.978071	-53.700965	0.000000
-83.978071	-53.700965	0.000000
-81.978071	-53.700965	0.000000
-79.978071	-53.700965	0.000000
-77.978071	-53.700965	1.000000
-75.978071	-53.700965	1.000000
-73.978071	-53.700965	1.000000
-71.978071	-53.700965	1.000000
-69.978071	-53.700965	1.000000
-67.978071	-53.700965	1.000000
-65.978071	-53.700965	1.000000
-63.978071	-53.700965	1.000000
-61.978071	-53.700965	1.000000
-59.978071	-53.700965	1.000000
-57.978071	-53.700965	1.000000
-55.978071	-53.700965	1.000000
-53.978071	-53.700965	1.000000
-51.978071	-53.700965	1.000000
-49.978071	-53.700965	1.000000
-47.978071	-53.700965	1.000000
-45.978071	-53.700965	1.000000
-43.978071	-53.700965	1.000000
-41.978071	-53.700965	1.000000
-39.978071	-53.700965	1.000000
-37.978071	-53.700965	1.000000
-35.978071	-53.700965	1.000000
-33.978071	-53.700965	1.000000
-31.978071	-53.700965	1.000000
-29.978071	-53.700965	1.000000
-27.978071	-53.700965	1.000000
-25.978071	-53.700965	1.000000
-23.978071	-53.700965	1.000000
-21.978071	-53.700965	1.000000
-19.978071	-53.700965	1.000000
-17.978071	-53.700965	1.000000
-15.978071	-53.700965	1.000000
-13.978071	-53.700965	1.000000
-11.978071	-53.700965	1.000000
-9.978071	-53.700965	1.000000
-7.978071	-53.700965	1.000000
-5.978071	-53.700965	1.000000
-3.978071	-53.700965	1.000000
-1.978071	-53.700965	1.000000
0.021929	-53.700965	1.000000
2.021929	-53.700965	1.000000
4.021929	-53.700965	1.000000
6.021929	-53.700965	1.000000
8.021929	-53.700965	1.000000
10.021929	-53.700965	1.000000
12.021929	-53.700965	1.000000
14.021929	-53.700965	1.000000
16.021929	-53.700965	1.000000
18.021929	-53.700965	1.000000
20.021929	-53.700965	1.000000
22.021929	-53.700965	1.000000
24.021929	-53.700965	1.000000
26.021929	-53.700965	1.000000
28.021929	-53.700965	1.000000
30.021929	-53.700965	0.000000
-107.978071	-51.700965	0.000000
-105.978071	-51.700965	0.000000
-103.978071	-51.700965	0.000000
-101.978071	-51.700965	0.000000
-99.978071	-51.700965	0.000000
-97.978071	-51.700965	0.000000
-95.978071	-51.700965	0.000000
-93.978071	-51.700965	0.000000
-91.978071	-51.700965	0.000000
-89.978071	-51.700965	0.000000
-87.978071	-51.700965	0.000000
-85.978071	-51.700965	0.000000
-83.978071	-51.700965	0.000000
-81.978071	-51.700965	0.000000
-79.978071	-51.700965	0.000000
-77.978071	-51.700965	1.000000
-75.978071	-51.700965	1.000000
-73.978071	-51.700965	1.000000
-71.978071	-51.700965	1.000000
-69.978071	-51.700965	1.000000
-67.978071	-51.700965	1.000000
-65.978071	-51.700965	1.000000
-63.978071	-51.700965	1.000000
-61.978071	-51.700965	1.000000
-59.978071	-51.700965	1.000000
-57.978071	-51.700965	1.000000
-55.978071	-51.700965	1.000000
-53.978071	-51.700965	1.000000
-51.978071	-51.700965	1.000000
-49.978071	-51.700965	1.000000
-47.978071	-51.700965	1.000000
-45.978071	-51.700965	1.000000
-43.978071	-51.700965	1.000000
-41.978071	-51.700965	1.000000
-39.978071	-51.700965	1.000000
-37.978071	-51.700965	1.000000
-35.978071	-51.700965	1.000000
-33.978071	-51.700965	1.000000
-31.978071	-51.700965	1.000000
-29.978071	-51.700965	1.000000
-27.978071	-51.700965	1.000000
-25.978071	-51.700965	1.000000
-23.978071	-51.700965	1.000000
-21.978071	-51.700965	1.000000
-19.978071	-51.700965	1.000000
-17.978071	-51.700965	1.000000
-15.978071	-51.700965	1.000000
-13.978071	-51.700965	1.000000
-11.978071	-51.700965	1.000000
-9.978071	-51.700965	1.000000
-7.978071	-51.700965	1.000000
-5.978071	-51.700965	1.000000
-3.978071	-51.700965	1.000000
-1.978071	-51.700965	1.000000
0.021929	-51.700965	1.000000
2.021929	-51.700965	1.000000
4.021929	-51.700965	1.000000
6.021929	-51.700965	1.000000
8.021929	-51.700965	1.000000
10.021929	-51.700965	1.000000
12.021929	-51.700965	1.000000
14.021929	-51.700965	1.000000
16.021929	-51.700965	1.000000
18.021929	-51.700965	1.000000
20.021929	-51.700965	1.000000
22.021929	-51.700965	1.000000
24.021929	-51.700965	1.000000
26.021929	-51.700965	1.000000
28.021929	-51.700965	1.000000
30.021929	-51.700965	0.000000
-107.978071	-49.700965	0.000000
-105.978071	-49.700965	0.000000
-103.978071	-49.700965	0.000000
-101.978071	-49.700965	0.000000
-99.978071	-49.700965	0.000000
-97.978071	-49.700965	0.000000
-95.978071	-49.700965	0.000000
-93.978071	-49.700965	0.000000
-91.978071	-49.700965	0.000000
-89.978071	-49.700965	0.000000
-87.978071	-49.700965	0.000000
-85.978071	-49.700965	0.000000
-83.978071	-49.700965	0.000000
-81.978071	-49.700965	0.000000
-79.978071	-49.700965	0.000000
-77.978071	-49.700965	1.000000
-75.978071	-49.700965	1.000000
-73.978071	-49.700965	1.000000
-71.978071	-49.700965	1.000000
-69.978071	-49.700965	1.000000
-67.978071	-49.700965	1.000000
-65.978071	-49.700965	1.000000
-63.978071	-49.700965	1.000000
-61.978071	-49.700965	1.000000
-59.978071	-49.700965	1.000000
-57.978071	-49.700965	1.000000
-55.978071	-49.700965	1.000000
-53.978071	-49.700965	1.000000
-51.978071	-49.700965	1.000000
-49.978071	-49.700965	1.000000
-47.978071	-49.700965	1.000000
-45.978071	-49.700965	1.000000
-43.978071	-49.700965	1.000000
-41.978071	-49.700965	1.000000
-39.978071	-49.700965	1.000000
-37.978071	-49.700965	1.000000
-35.978071	-49.700965	1.000000
-33.978071	-49.700965	1.000000
-31.978071	-49.700965	1.000000
-29.978071	-49.700965	1.000000
-27.978071	-49.700965	1.000000
-25.978071	-49.700965	1.000000
-23.978071	-49.700965	1.000000
-21.978071	-49.700965	1.000000
-19.978071	-49.700965	1.000000
-17.978071	-49.700965	1.000000
-15.978071	-49.700965	1.000000
-13.978071	-49.700965	1.000000
-11.978071	-49.700965	1.000000
-9.978071	-49.700965	1.000000
-7.978071	-49.700965	1.000000
-5.978071	-49.700965	1.000000
-3.978071	-49.700965	1.000000
-1.978071	-49.700965	1.000000
0.021929	-49.700965	1.000000
2.021929	-49.700965	1.000000
4.021929	-49.700965	1.000000
6.021929	-49.700965	1.000000
8.021929	-49.700965	1.000000
10.021929	-49.700965	1.000000
12.021929	-49.700965	1.000000
14.021929	-49.700965	1.000000
16.021929	-49.700965	1.000000
18.021929	-49.700965	1.000000
20.021929	-49.700965	1.000000
22.021929	-49.700965	1.000000
24.021929	-49.700965	1.000000
26.021929	-49.700965	1.000000
28.021929	-49.700965	1.000000
30.021929	-49.700965	0.000000
-107.978071	-47.700965	0.000000
-105.978071	-47.700965	0.000000
-103.978071	-47.700965	0.000000
-101.978071	-47.700965	0.000000
-99.978071	-47.700965	0.000000
-97.978071	-47.700965	0.000000
-95.978071	-47.700965	0.000000
-93.978071	-47.700965	0.000000
-91.978071	-47.700965	0.000000
-89.978071	-47.700965	0.000000
-87.978071	-47.700965	0.000000
-85.978071	-47.700965	0.000000
-83.978071	-47.700965	0.000000
-81.978071	-47.700965	0.000000
-79.978071	-47.700965	0.000000
-77.978071	-47.700965	1.000000
-75.978071	-47.700965	1.000000
-73.978071	-47.700965	1.000000
-71.978071	-47.700965	1.000000
-69.978071	-47.700965	1.000000
-67.978071	-47.700965	1.000000
-65.978071	-47.700965	1.000000
-63.978071	-47.700965	1.000000
-61.978071	-47.700965	1.000000
-59.978071	-47.700965	1.000000
-57.978071	-47.700965	1.000000
-55.978071	-47.700965	1.000000
-53.978071	-47.700965	1.000000
-51.978071	-47.700965	1.000000
-49.978071	-47.700965	1.000000
-47.978071	-47.700965	1.000000
-45.978071	-47.700965	1.000000
-43.978071	-47.700965	1.000000
-41.978071	-47.700965	1.000000
-39.978071	-47.700965	1.000000
-37.978071	-47.700965	1.000000
-35.978071	-47.700965	1.000000
-33.978071	-47.700965	1.000000
-31.978071	-47.700965	1.000000
-29.978071	-47.700965	1.000000
-27.978071	-47.700965	1.000000
-25.978071	-47.700965	1.000000
-23.978071	-47.700965	1.000000
-21.978071	-47.700965	1.000000
-19.978071	-47.700965	1.000000
-17.978071	-47.700965	1.000000
-15.978071	-47.700965	1.000000
-13.978071	-47.700965	1.000000
-11.978071	-47.700965	1.000000
-9.978071	-47.700965	1.000000
-7.978071	-47.700965	1.000000
-5.978071	-47.700965	1.000000
-3.978071	-47.700965	1.000000
-1.978071	-47.700965	1.000000
0.021929	-47.700965	1.000000
2.021929	-47.700965	1.000000
4.021929	-47.700965	1.000000
6.021929	-47.700965	1.000000
8.021929	-47.700965	1.000000
10.021929	-47.700965	1.000000
12.021929	-47.700965	1.000000
14.021929	-47.700965	1.000000
